"DATE","DATE_NAME","DATE_CODE","DATE_TYPE","DATE_TYPECODE","DATE_SORTORDER","GEOGRAPHY","GEOGRAPHY_NAME","GEOGRAPHY_CODE","GEOGRAPHY_TYPE","GEOGRAPHY_TYPECODE","GEOGRAPHY_SORTORDER","GENDER","GENDER_NAME","GENDER_CODE","GENDER_TYPE","GENDER_TYPECODE","GENDER_SORTORDER","C_AGE","C_AGE_NAME","C_AGE_CODE","C_AGE_TYPE","C_AGE_TYPECODE","C_AGE_SORTORDER","MEASURES","MEASURES_NAME","OBS_VALUE","OBS_STATUS","OBS_STATUS_NAME","OBS_CONF","OBS_CONF_NAME","URN","RECORD_OFFSET","RECORD_COUNT"
"2020","2020","2020","date",0,5,"2092957699","England","E92000001","countries",499,2,"0","Total","0","Sex",1000,0,"11","Aged 45-49","11","5 year age band",2000,7,"20100","Value",3681468,"A","Normal Value","F","Free (free for publication)","Nm-2002d1d32320e2d2092957699d0d11d20100",303,560
"2020","2020","2020","date",0,5,"2092957700","Wales","W92000004","countries",499,3,"0","Total","0","Sex",1000,0,"200","All Ages","200","Labour Market category",5000,0,"20100","Value",3104483,"A","Normal Value","F","Free (free for publication)","Nm-2002d1d32320e2d2092957700d0d200d20100",304,560
"2020","2020","2020","date",0,5,"2092957700","Wales","W92000004","countries",499,3,"0","Total","0","Sex",1000,0,"1","Age 0 - 4","1","5 year age band",2000,1,"20100","Value",159001,"A","Normal Value","F","Free (free for publication)","Nm-2002d1d32320e2d2092957700d0d1d20100",305,560
"2020","2020","2020","date",0,5,"2092957700","Wales","W92000004","countries",499,3,"0","Total","0","Sex",1000,0,"6","Aged 20-24","6","5 year age band",2000,2,"20100","Value",190416,"A","Normal Value","F","Free (free for publication)","Nm-2002d1d32320e2d2092957700d0d6d20100",306,560
"2020","2020","2020","date",0,5,"2092957700","Wales","W92000004","countries",499,3,"0","Total","0","Sex",1000,0,"7","Aged 25-29","7","5 year age band",2000,3,"20100","Value",189403,"A","Normal Value","F","Free (free for publication)","Nm-2002d1d32320e2d2092957700d0d7d20100",307,560
"2020","2020","2020","date",0,5,"2092957700","Wales","W92000004","countries",499,3,"0","Total","0","Sex",1000,0,"8","Aged 30-34","8","5 year age band",2000,4,"20100","Value",193265,"A","Normal Value","F","Free (free for publication)","Nm-2002d1d32320e2d2092957700d0d8d20100",308,560
"2020","2020","2020","date",0,5,"2092957700","Wales","W92000004","countries",499,3,"0","Total","0","Sex",1000,0,"9","Aged 35-39","9","5 year age band",2000,5,"20100","Value",185159,"A","Normal Value","F","Free (free for publication)","Nm-2002d1d32320e2d2092957700d0d9d20100",309,560
"2020","2020","2020","date",0,5,"2092957700","Wales","W92000004","countries",499,3,"0","Total","0","Sex",1000,0,"10","Aged 40-44","10","5 year age band",2000,6,"20100","Value",172406,"A","Normal Value","F","Free (free for publication)","Nm-2002d1d32320e2d2092957700d0d10d20100",310,560
"2020","2020","2020","date",0,5,"2092957700","Wales","W92000004","countries",499,3,"0","Total","0","Sex",1000,0,"11","Aged 45-49","11","5 year age band",2000,7,"20100","Value",192813,"A","Normal Value","F","Free (free for publication)","Nm-2002d1d32320e2d2092957700d0d11d20100",311,560
"2020","2020","2020","date",0,5,"2092957701","Scotland","S92000003","countries",499,4,"0","Total","0","Sex",1000,0,"200","All Ages","200","Labour Market category",5000,0,"20100","Value",5408900,"A","Normal Value","F","Free (free for publication)","Nm-2002d1d32320e2d2092957701d0d200d20100",312,560
